Time Stamp,ID,Extended,Dir,Bus,LEN,D1,D2,D3,D4,D5,D6,D7,D8
-1613983962153940,000001DA,false,Rx,0,8,FF,00,00,00,7F,FE,01,97,
-1613983962153769,00000120,false,Rx,0,4,00,00,01,85,00,00,00,00,
-1613983962153556,0000055A,false,Rx,0,8,00,28,28,FF,55,00,0B,28,
-1613983962143956,000001DA,false,Rx,0,8,FF,00,00,00,7F,FE,02,9D,
-1613983962143786,00000120,false,Rx,0,4,00,00,02,8F,00,00,00,00,
-1613983962133973,000001DA,false,Rx,0,8,FF,40,00,00,7F,FE,03,BA,
-1613983962133802,00000120,false,Rx,0,4,00,00,03,0A,00,00,00,00,
-1613983962123947,000001DA,false,Rx,0,8,02,40,00,00,7F,FE,00,CC,
-1613983962123776,00000120,false,Rx,0,4,00,00,04,9B,00,00,00,00,
-1613983962113878,000001DA,false,Rx,0,8,02,00,00,00,7F,FE,01,EB,
-1613983962113708,00000120,false,Rx,0,4,00,00,05,1E,00,00,00,00,
-1613983962103937,000001DA,false,Rx,0,8,02,00,00,00,7F,FE,02,E1,
-1613983962103767,00000120,false,Rx,0,4,00,00,06,14,00,00,00,00,
-1613983962093869,000001DA,false,Rx,0,8,02,40,00,00,7F,FE,03,C6,
-1613983962093741,00000120,false,Rx,0,4,00,00,07,91,00,00,00,00,
-1613983962083885,000001DA,false,Rx,0,8,02,40,00,00,7F,FE,00,CC,
-1613983962083715,00000120,false,Rx,0,4,00,00,08,B3,00,00,00,00,
-1613983962073945,000001DA,false,Rx,0,8,02,00,00,00,7F,FE,01,EB,
-1613983962073774,00000120,false,Rx,0,4,00,00,09,36,00,00,00,00,
-1613983962063876,000001DA,false,Rx,0,8,02,00,00,00,7F,FE,02,E1,
-1613983962063705,00000120,false,Rx,0,4,00,00,0A,3C,00,00,00,00,
-1613983962053893,000001DA,false,Rx,0,8,02,40,00,00,7F,FE,03,C6,
-1613983962053722,00000120,false,Rx,0,4,00,00,0B,B9,00,00,00,00,
-1613983962053509,0000055A,false,Rx,0,8,00,19,35,FF,68,00,7B,28,
